Order_ID,Order_Date,Product_ID,Product_Name,Category,Price,Quantity,Channel,City,Customer_ID,Stock_Available,Sales,Stock_Status
1,2024-05-10,1077,Shoes,Fashion,3610.49,2,Online,Delhi,6959,422,7220.98,Overstock
2,2024-12-31,1035,Shoes,Fashion,2164.15,2,Store,Delhi,5426,65,4328.3,Optimal
3,2024-11-10,1094,Sofa,Furniture,107.99,1,Store,Bangalore,5728,268,107.99,Optimal
4,2022-05-02,1027,Headphones,Electronics,1909.5,3,Store,Delhi,5880,178,5728.5,Optimal
5,2023-04-12,1097,Watch,Electronics,432.02,4,Store,Bangalore,5561,212,1728.08,Optimal
6,2022-11-27,1034,Phone,,3924.92,4,App,Mumbai,5183,337,15699.68,Overstock
7,2022-03-29,1059,Headphones,Electronics,3940.38,1,Store,Hyderabad,6085,189,3940.38,Optimal
8,2024-05-21,1061,Headphones,Electronics,4051.26,1,App,Hyderabad,6123,412,4051.26,Overstock
9,2022-05-11,1086,Shirt,,248.6,1,Store,Delhi,6718,7,248.6,Understock
10,2024-02-09,1045,Headphones,Electronics,258.12,4,Store,Delhi,6892,147,1032.48,Optimal
11,2022-12-10,1082,Phone,,4526.9,2,Store,Mumbai,6949,118,9053.8,Optimal
12,2024-03-16,1081,Laptop,Electronics,706.05,3,Online,Delhi,6819,127,2118.14999999999,Optimal
13,2023-01-21,1078,Shoes,Fashion,3383.44,2,App,Mumbai,5195,100,6766.88,Optimal
14,2024-08-13,1060,Shoes,Fashion,3997.73,1,Online,Mumbai,5936,223,3997.73,Optimal
15,2022-10-04,1064,Laptop,Electronics,2294.53,4,Store,Hyderabad,6491,200,9178.12,Optimal
16,2023-04-05,1088,Shirt,,2777.71,2,Online,Hyderabad,6035,285,5555.42,Optimal
17,2022-01-22,1025,Shoes,Fashion,1214.17,3,Online,Mumbai,5365,441,3642.51,Overstock
18,2022-09-10,1034,Phone,,4625.64,1,Online,Delhi,5332,306,4625.64,Overstock
19,2024-01-18,1056,Laptop,Electronics,1578.83,3,App,Hyderabad,5345,147,4736.49,Optimal
20,2024-05-06,1078,Shoes,Fashion,1167.27,4,Store,Mumbai,6061,293,4669.08,Optimal
21,2023-04-20,1062,Phone,,2674.48,1,Store,Bangalore,6844,250,2674.48,Optimal
22,2024-12-18,1003,Laptop,Electronics,1033.52,1,App,Delhi,5534,214,1033.52,Optimal
23,2023-05-26,1078,Laptop,Electronics,3464.79,1,App,Hyderabad,6833,7,3464.79,Understock
24,2023-12-01,1041,Laptop,Electronics,2624.07,3,Store,Mumbai,6391,119,7872.21,Optimal
25,2024-09-02,1044,Bag,,824.24,4,Store,Hyderabad,5117,448,3296.96,Overstock
26,2022-07-09,1038,Shirt,,429.51,1,Online,Hyderabad,5834,133,429.51,Optimal
27,2024-08-15,1064,Laptop,Electronics,771.07,2,App,Mumbai,6802,171,1542.14,Optimal
28,2023-11-18,1021,Headphones,Electronics,769.46,1,Store,Mumbai,6373,128,769.46,Optimal
29,2024-08-15,1010,Watch,Electronics,1632.97,1,Store,Bangalore,5137,448,1632.97,Overstock
30,2023-07-17,1036,Sofa,Furniture,4183.03,1,Online,Delhi,6612,44,4183.03,Understock
31,2024-04-11,1089,Sofa,Furniture,380.74,2,Store,Hyderabad,5329,395,761.48,Overstock
32,2023-10-09,1050,Laptop,Electronics,727.64,2,App,Delhi,6182,77,1455.28,Optimal
33,2022-01-21,1090,Shoes,Fashion,1584.21,4,App,Mumbai,6195,387,6336.84,Overstock
34,2024-04-20,1057,Headphones,Electronics,2811.33,3,App,Mumbai,5420,298,8433.99,Optimal
35,2022-06-16,1076,Headphones,Electronics,3838.13,1,Online,Mumbai,6432,478,3838.13,Overstock
36,2023-01-23,1006,Sofa,Furniture,4613.84,3,Online,Mumbai,5476,24,13841.52,Understock
37,2023-08-24,1007,Phone,,2119.23,3,App,Delhi,5020,345,6357.69,Overstock
38,2022-11-12,1050,Phone,,618.59,1,Store,Mumbai,5142,383,618.59,Overstock
39,2022-01-14,1022,Shoes,Fashion,1146.23,1,Store,Hyderabad,5233,267,1146.23,Optimal
40,2022-08-30,1089,Phone,,1507.51,2,Store,Delhi,6398,209,3015.02,Optimal
41,2024-02-16,1090,Watch,Electronics,3951.88,4,App,Mumbai,5906,483,15807.52,Overstock
42,2023-07-19,1008,Shoes,Fashion,3464.55,2,App,Bangalore,5481,293,6929.1,Optimal
43,2024-06-16,1045,Phone,,1124.13,3,App,Delhi,6008,106,3372.39,Optimal
44,2022-04-02,1037,Laptop,Electronics,4209.85,1,Online,Bangalore,6610,311,4209.85,Overstock
45,2024-08-13,1012,Headphones,Electronics,4309.86,3,Online,Bangalore,6836,257,12929.5799999999,Optimal
46,2023-05-24,1006,Phone,,4423.95,2,App,Delhi,6287,11,8847.9,Understock
47,2024-02-15,1010,Headphones,Electronics,1447.52,3,App,Bangalore,5609,192,4342.55999999999,Optimal
48,2022-02-04,1073,Laptop,Electronics,755.28,1,Store,Delhi,5616,338,755.28,Overstock
49,2022-07-25,1096,Phone,,609.39,4,Online,Mumbai,6177,430,2437.56,Overstock
50,2024-10-22,1049,Phone,,2060.43,3,Store,Mumbai,6556,240,6181.28999999999,Optimal
51,2024-10-18,1066,Phone,,2203.69,4,App,Mumbai,5307,249,8814.76,Optimal
52,2023-07-20,1040,Laptop,Electronics,4354.23,3,App,Hyderabad,6073,106,13062.6899999999,Optimal
53,2023-12-04,1028,Bag,,1412.0,1,Online,Bangalore,5791,496,1412.0,Overstock
54,2023-02-06,1036,Phone,,3171.77,1,Online,Delhi,5367,372,3171.77,Overstock
55,2023-12-31,1055,Phone,,3962.24,4,Store,Hyderabad,6247,425,15848.96,Overstock
56,2022-06-11,1079,Headphones,Electronics,1418.85,1,Store,Hyderabad,5337,382,1418.85,Overstock
57,2022-07-21,1015,Watch,Electronics,1408.98,4,Online,Delhi,6049,312,5635.92,Overstock
58,2024-09-22,1043,Shirt,,3378.86,2,App,Hyderabad,5808,166,6757.72,Optimal
59,2022-09-27,1049,Bag,,3658.07,4,Online,Bangalore,5562,196,14632.28,Optimal
60,2024-03-26,1070,Laptop,Electronics,4802.84,3,Store,Delhi,5655,115,14408.52,Optimal
61,2023-04-01,1078,Watch,Electronics,4264.71,4,Online,Hyderabad,6832,430,17058.84,Overstock
62,2024-10-13,1005,Sofa,Furniture,4128.05,4,Store,Hyderabad,5051,324,16512.2,Overstock
63,2022-10-23,1017,Headphones,Electronics,3492.34,3,Store,Hyderabad,6464,340,10477.02,Overstock
64,2023-12-21,1018,Shoes,Fashion,680.58,1,Store,Delhi,5376,244,680.58,Optimal
65,2022-12-04,1050,Headphones,Electronics,4065.28,1,App,Mumbai,5868,193,4065.28,Optimal
66,2024-05-28,1065,Shirt,,4683.08,2,Store,Hyderabad,6491,166,9366.16,Optimal
67,2024-12-12,1002,Watch,Electronics,2014.52,1,App,Bangalore,5818,183,2014.52,Optimal
68,2024-03-02,1088,Watch,Electronics,1636.94,2,App,Mumbai,5826,170,3273.88,Optimal
69,2022-08-05,1099,Phone,,2660.16,2,Online,Bangalore,5761,30,5320.32,Understock
70,2024-02-03,1053,Sofa,Furniture,4786.63,2,App,Delhi,5462,388,9573.26,Overstock
71,2022-07-07,1048,Sofa,Furniture,349.08,1,App,Mumbai,6987,257,349.08,Optimal
72,2023-01-15,1027,Phone,,3573.52,3,Online,Bangalore,5757,55,10720.56,Optimal
73,2023-05-08,1037,Watch,Electronics,4091.87,1,Online,Hyderabad,5295,47,4091.87,Understock
74,2024-11-30,1027,Headphones,Electronics,3964.87,3,Store,Mumbai,5143,262,11894.61,Optimal
75,2022-01-15,1031,Watch,Electronics,2877.19,1,App,Mumbai,5971,435,2877.19,Overstock
76,2022-03-06,1040,Phone,,4610.76,2,Store,Delhi,5162,39,9221.52,Understock
77,2023-06-05,1035,Shirt,,759.17,3,App,Mumbai,6305,30,2277.50999999999,Understock
78,2023-10-10,1035,Bag,,1301.24,1,App,Delhi,5328,438,1301.24,Overstock
79,2024-12-22,1086,Laptop,Electronics,1604.09,1,Store,Mumbai,5463,121,1604.09,Optimal
80,2023-08-16,1065,Shirt,,142.52,4,App,Delhi,6210,70,570.08,Optimal
81,2023-01-27,1009,Laptop,Electronics,1916.28,3,App,Delhi,6013,58,5748.84,Optimal
82,2023-02-23,1069,Sofa,Furniture,887.23,2,Online,Bangalore,6614,452,1774.46,Overstock
83,2022-10-16,1071,Shoes,Fashion,3650.67,2,App,Mumbai,6619,159,7301.34,Optimal
84,2023-01-14,1078,Phone,,2133.27,3,Store,Hyderabad,5386,28,6399.80999999999,Understock
85,2022-08-19,1092,Shirt,,3551.85,1,App,Hyderabad,5644,189,3551.85,Optimal
86,2024-10-14,1062,Sofa,Furniture,1538.9,2,Online,Bangalore,6447,278,3077.8,Optimal
87,2022-02-10,1091,Shirt,,746.4,1,Online,Bangalore,5694,101,746.4,Optimal
88,2024-11-17,1021,Watch,Electronics,746.75,4,Online,Mumbai,5076,199,2987.0,Optimal
89,2022-05-15,1097,Laptop,Electronics,1095.99,2,Store,Mumbai,5431,208,2191.98,Optimal
90,2022-07-20,1019,Phone,,664.56,1,Online,Hyderabad,5234,479,664.56,Overstock
91,2024-02-19,1032,Watch,Electronics,1180.68,2,App,Hyderabad,5988,104,2361.36,Optimal
92,2024-07-18,1014,Laptop,Electronics,2937.27,1,App,Bangalore,6773,495,2937.27,Overstock
93,2024-11-22,1006,Watch,Electronics,1356.05,4,App,Bangalore,6478,377,5424.2,Overstock
94,2024-12-07,1087,Laptop,Electronics,1780.44,4,App,Mumbai,5948,230,7121.76,Optimal
95,2023-05-18,1089,Bag,,358.4,4,Store,Delhi,6479,219,1433.6,Optimal
96,2023-02-11,1049,Laptop,Electronics,4471.82,1,Store,Delhi,6783,83,4471.82,Optimal
97,2024-03-15,1009,Watch,Electronics,776.99,2,App,Hyderabad,5410,209,1553.98,Optimal
98,2022-04-09,1078,Sofa,Furniture,1808.46,2,App,Delhi,5328,142,3616.92,Optimal
99,2023-11-15,1036,Phone,,1959.45,1,Online,Bangalore,6375,294,1959.45,Optimal
100,2023-12-27,1058,Shoes,Fashion,3883.42,4,Store,Delhi,6260,39,15533.68,Understock
101,2024-08-18,1087,Bag,,2469.36,4,App,Mumbai,5675,389,9877.44,Overstock
102,2023-09-05,1074,Bag,,1976.49,3,Online,Bangalore,5035,164,5929.47,Optimal
103,2023-10-05,1062,Bag,,3509.79,1,Store,Mumbai,5741,482,3509.79,Overstock
104,2024-10-25,1020,Shirt,,3025.37,4,App,Bangalore,5747,272,12101.48,Optimal
105,2023-05-18,1078,Bag,,482.86,3,Online,Delhi,5038,434,1448.58,Overstock
106,2024-02-06,1078,Headphones,Electronics,1632.23,4,Store,Mumbai,6482,397,6528.92,Overstock
107,2023-02-02,1036,Laptop,Electronics,4895.18,2,Store,Bangalore,6848,227,9790.36,Optimal
